He has entered the Wildling camp unarmed MANCE,You're wearing a black cloak again
JON,I've been sent to negotiate with you
[Mance and Jon enter Mance's tent and take a seat MANCE,It appears my trusting nature got the better of me
JON,The Halfhand ordered me to join your army and bring back whatever information I could to Castle Black
MANCE,We'll drink to her
Jon looks at Mance MANCE,"Of all the ways I'd kill you, poison would be the last"
[They pick up their cups MANCE,Ygritte
JON,Ygritte
[They take a sip and Jon begins to cough JON,That's not wine
MANCE,"No, it's a proper Northern drink, Jon Snow"
JON,He's dead
MANCE,He was their king
JON,Grenn came from a farm
[They lift their cups MANCE,Mag and Grenn
JON,Grenn and Mag
MANCE,"Kullback, could I trouble you for something to eat? I don't imagine our guest has eaten anything in quite some time"
You're here to strike a bargain? JON,Turn your army around and go home
MANCE,You know I know you're low on arrows
How many are left? 50? JON,I told Tormund and Orell
MANCE,I showed you everything I had
The Wildlings get their weapons ready MANCE,"Ah! Oh, that's why you're here"
Men on horseback ride toward them MANCE,Hold! To me
"The Wildlings fight back, clearly outnumbered MANCE",Stand down! I said my people have bled enough and I meant it
DAVOS,"This is Stannis Baratheon, the one true king of the seven kingdoms"
MANCE,We're not in the seven kingdoms and you're not dressed for this weather
STANNIS,It is customary to kneel when surrendering to a king
MANCE,We do not kneel
STANNIS,"I'll have thousands of your men in chains by nightfall, I'll have nowhere to put them and nothing to feed them"
MANCE,"All the same, we do not kneel"
STANNIS,Take these men away
DAVOS,You're speaking to the one true king boy
JON,I know he's the king
STANNIS,Your father was an honorable man
JON,"He was, your grace"
STANNIS,Very well
JON,Your grace
CUT TO,KING'S LANDING [Qyburn is seen closely analyzing Gregor's body
He's in Pycelle's lab with Cersei PYCELLE,I would suggest milk of the poppy to ease his pain but he is completely insensate
CERSEI,Bloody Martells
PYCELLE,The cause appears to be manticore venom
QYBURN,"It is, yes, manticore"
PYCELLE,I've read a good deal about it
QYBURN,Yes there is
PYCELLE,Your grace
QYBURN,That's for the best
PYCELLE,"That is exactly the sort of arrogance that had him expelled from the citadel, your grace"
CERSEI,"You're dismissed, Grand Maester"
PYCELLE,Your grace
This is my laboratory! CERSEI,Not anymore
CERSEI,Do everything you can
QYBURN,"Thank you, your grace"
CERSEI,Very well then
Cersei is seen arguing with Tywin TYWIN,Not another word
CERSEI,I'm opening it again
TYWIN,You are betrothed to Loras Tyrell
CERSEI,I will not
TYWIN,Jaime cannot marry or inherit lands
CERSEI,I don't care
TYWIN,"When you were nine years old, I was called to the capital"
You insisted that you would not be left at Casterly Rock under any circumstances and if you recall- CERSEI,I'm not interested in hearing another one of your smug stories about the time you won
TYWIN,No
CERSEI,Joffrey is dead
TYWIN,"No, no, no, no, no"
CERSEI,Your legacy is a lie
TYWIN,I don't believe you
CERSEI,Yes you do
Jaime is turning pages in a book in another room CERSEI,Jaime
JAIME,You won
"There's really nothing you wouldn't do, is there? CERSEI","For my family, no"
JAIME,Tyrion is your family
CERSEI,He's not
JAIME,You don't get to choose
CERSEI,"I do, so do you"
