BRAAVOSI MAN,"In the old times, whenever Braavos stood in danger, the titan would step with fire in his eyes"
ARYA,He's just a statue
MAN,Don't be afraid
ARYA,I'm not afraid
BRAAVOS - THE HOUSE OF BLACK AND WHITE They arrive at The House of Black and White MAN,"Here, I leave you"
ARYA,Thank you for bringing me
MAN,Any man of Braavos would have done the same
ARYA,Valar dohaeris
An old man enters ARYA,Hello
ARYA,Jaqen H’ghar gave me this
OLD MAN,No one here by that name
ARYA,Please
OLD MAN,You have everywhere else to go
ARYA,But wait! The Old Man shuts the door abruptly; Arya turns around and sits on the top step EXT
HOUSE OF BLACK AND WHITE - NIGHT ARYA,"Cersei, Walder Frey, The Mountain, Meryn Trant"
HOUSE OF BLACK AND WHITE - DAY ARYA,
PODRICK,Must be good food if it’s crowded
BAELISH,You are becoming an observant young lady
SANSA,"My mother used to say, \"dark wings, dark words\""
BAELISH,An old saying
SANSA,So it was good news
? BAELISH,My marriage proposal has been accepted
SANSA,I thought you still mourn the death of my beloved Aunt Lysa
BRIENNE Bunch? What's a bunch? 100? 6? 20? PODRICK,"10, I think"
"My lady, I don't think this is the right-- BRIENNE",Ready the horses
PODRICK,We only have one horse
BRIENNE,Find more
Why do men love it so much? BAELISH,It gives some men courage
BRIENNE,"Lord Baelish, Lady Sansa, my name is Brienne of Tarth"
BAELISH,We've met
Baelish gestures to the knights to welcome her; Brienne goes through and takes a knee in front of Sansa BRIENNE,"Lady Sansa, before your mother's death, I was her sworn sword"
BAELISH,"Please, Lady Brienne"
(Brienne gets up) You are Catelyn Stark's sworn sword? BRIENNE,I was
BAELISH,Strange
BRIENNE,It was after Renly's murder
BAELISH,"Ah, yes"
BRIENNE,I tried to save him
BAELISH,But you were accused
BRIENNE,By men who didn't see what happened
BAELISH,A shadow? With a face? (scoffs) This woman swore to protect Renly; she failed
BRIENNE,"Please, my lady"
If I could explain-- SANSA,I saw you at Joffrey's wedding bowing to the king
BRIENNE,Neither of us wanted to be there
SANSA,And sometimes we do
BAELISH,We don't want our new friend wandering the countryside alone
Why don't you stay? Brienne walks away KNIGHT 1,He asked you to stay
GUARD,After her! EXT
KNIGHT,I guess that means you’re unarmed
BRIENNE,"Down, Podrick, down! Podrick gets down"
PODRICK,"Yes, my lady"
(stands) Sansa Stark? BRIENNE,"Wary of strangers, as she should me"
PODRICK,"My lady, if those Stark girls refused your service, maybe you’re released from your vow"
BRIENNE,I swore to their mother I’d protect those girls
BRIENNE,Get your horse
KING'S LANDING - CERSEI'S ROOM JAIME,A summons from the queen
JAIME,It’s a threat
CERSEI,Of course it’s a threat! Our daughter’s in Dorne surrounded by people who hate our family
"\" JAIME",No note
CERSEI,"They blame us for the death of Oberyn and his sister, and every other tragedy that’s befallen their cursed country"
I will burn their cities to the ground if they touch her! JAIME,Softer
CERSEI,Then don’t call her your daughter
JAIME,"If I was the father to any of my children, they’d be stoned in the streets"
CERSEI,And what has your caution brought? Our eldest child murdered at his own wedding
JAIME,I’ll make things better
CERSEI,You never made anything better
JAIME,I’m going to Dorne
CERSEI,You can’t just ask Prince Doran to give her back! She’s promised his son
JAIME,I’m not going to ask him anything
CERSEI,"You go there with an army, it’s an act of war"
JAIME,No army
Do you know where they’re keeping her? CERSEI,Oberyn mentioned the Water Gardens
JAIME,I’ll find her
LOLLYS STOKEWORTH,No sunflowers
BRONN,"They certainly do, my dear"
BRONN,"It's a fine place, isn't it? A fine place"
LOLLYS,You won't
BRONN,Oh
LOLLYS,She hates me
BRONN,You know what I think? I think you're a good person
LOLLYS,She is
BRONN,I've been all over the world
LOLLYS,"Who's that? Jaime is sitting on a stone wall, waiting for Bronn"
BRONN,Jaime fucking Lannister
BRONN,Ser Jaime
JAIME,Ser Bronn of the Blackwater
BRONN,I was very sorry to hear about your father
JAIME,Thank you
BRONN (gestures to Lollys),"This is my betrothed, Lollys"
JAIME,A pleasure
(he kisses her hand) BRONN,"Run along, love"
JAIME,Beautiful bride you've chosen
When were you planning on getting married? BRONN,Just get on with it
JAIME,It's very good for you
BRONN,Lollys will be marrying Ser Wyllis Bracken
JAIME,Mmm
BRONN,"We made a deal, your sister and I"
JAIME,I would have advised against that
),My future queen
AREO,The prince does not wish to be disturbed
ELLARIA,"Your brother was murdered, and you sit here at the Water Gardens, staring at the sky and doing nothing"
DORAN,Oberyn was slain during a trial by combat
ELLARIA,What will you do about his death
DORAN,I will bury him
DORAN,Then we are lucky the whole country does not decide
ELLARIA,The Sand Snakes are with me
ELLARIA,Oberyn is dead
DORAN,I loved my brother
ELLARIA,And how long will that be? Ellaria exits the room
),The Unsullied are too conspicuous
DAARIO,Anyone can see you coming from a mile off
DAARIO,"My Second Sons, on the other hand, they drink, they whore, fight in the streets--they blend in"
GREY WORM,No one here
DAARIO,Right
