LADY CRANE,My son
CUT TO,BRAAVOS - LADY CRANE’S APARTMENT ARYA is lying in bed
ARYA,You’re good at that
Where did you learn? LADY CRANE,I’m a jealous woman
LADY CRANE,So we’d fight and I’d put a hole in them
ARYA,And good at putting holes in them
LADY CRANE,And that
ARYA,What happened to the actress? The one who wanted you dead
LADY CRANE,Bianca
LADY CRANE,She’ll have a hard time finding work as an actress after what I did to her face
ARYA,Mmm
LADY CRANE,I never did learn to cook
ARYA,I can’t
LADY CRANE,Why not? Got a feeling you’d be good at this sort of work
ARYA,I don’t think I could remember all of the lines
LADY CRANE,Come with us
What’s left for you here? ARYA,You wouldn’t be safe
But what’s west of Westeros? LADY CRANE,I don’t know
ARYA,Nobody does
LADY CRANE,"The edge of the world, maybe"
ARYA,I’d like to see that
ARYA,I don’t want any
LADY CRANE,Sleep is the only way you’ll heal
MAN,"Thing about Gatins, right, is he used to be pretty"
GATINS,I was a famous kisser
YOUNG MAN,Course we do
GATINS,"This is for masters, this technique"
YOUNG MAN #2,I’m ready
MAN,He says he’s ready
GATINS,All right
GATINS,"Now, pay attention"
GATINS,Your right hand holds the small of the lady’s back like so
GATINS,Very romantic
MAN,Look at him
"You get hard, boy? YOUNG MAN #2",Fuck you! Disgusting old twats
YOUNG MAN #2,"Got off on that, did you, you old fuck? The other three men spot SANDOR coming"
SANDOR,Where’s the other one? The one with the yellow cloak
RED PRIESTESS (speaking Valyrian),From the fire she was reborn to remake the world
TYRION,I’d call that a successful gambit
VARYS,You made a pact with fanatics
TYRION,I did and it worked
VARYS,"If you shaved your beard with a straight razor, you’d say the razor worked"
TYRION,Spoken like a man who has never had to shave
TYRION,I’m going to miss you
VARYS,I know
TYRION,I hope you’re right about this expedition of yours
VARYS,"If I don’t return, you’ll know I was wrong"
VARYS,We need friends in Westeros
TYRION,"Most of all, we need our queen"
VARYS,She’ll come back
VARYS,I’ll walk the rest of the way myself
TYRION,Varys
TYRION,The most famous dwarf in the world
QYBURN,"Your Grace, several members of the Faith Militant have been permitted entry to the Red Keep"
CERSEI,Have been permitted? That’s rather a tortured way of putting it
QYBURN,"They demand to see you, Your Grace"
CERSEI,Who permitted them inside the Red Keep? QYBURN says nothing
LANCEL,"Your Grace, His Holiness the High Septon wishes to speak with you at the Great Sept of Baelor"
CERSEI,His Holiness the High Septon is welcome to see me here in the Red Keep
LANCEL,"Your Grace, this is not a request"
CERSEI,"It is a request, Cousin Lancel"
LANCEL,The High Septon commands you
Are you sure you want to refuse him? CERSEI,He promised me I could stay in the Red Keep until my trial
LANCEL,He made no such promises
If you refuse to come of your own free will- - CERSEI,Get out
LANCEL (to GREGOR),"Move aside, ser"
LANCEL (to CERSEI),Order your man to step aside or there will be violence
CERSEI,I choose violence
CERSEI,Please tell His High Holiness he’s always welcome to visit
PODRICK,"Looks like a siege, my lady"
BRIENNE,"You have a keen military mind, Pod"
PODRICK,My lady
CUT TO,RIVERRUN - LANNISTER-FREY ENCAMPMENT PODRICK watches Lannister soldiers riding through the encampment
BRONN,"Getting a bit old to be a squire, aren’t we? BRONN releases PODRICK"
BRONN,Podrick fucking Payne
PODRICK,Not yet
BRONN,Why not? I’d fuck her
"You’d fuck her, wouldn’t you? PODRICK",I’m her squire
BRONN,Oh
BRONN,You must have shown it to her by now
PODRICK,She’s training me to fight
BRONN,Is she? Oh
PODRICK,"An hour in the morning, and hour at night"
BRONN,"Now, that’s the truth, isn’t it? You want to learn that sort of fighting? PODRICK smiles and nods"
BRONN,"All right, let’s start with your footwork"
BRONN,Show me your stance
BRONN,"Now, listen to me, Pod"
BRONN,"Lesson number one, assume everyone wants to hit you"
CUT TO,JAIME’S TENT BRIENNE and JAIME stand across from each other
JAIME,I never thought you’d find her
BRIENNE,I don’t think you know many girls like her
JAIME,"Well, I’m proud of you"
JAIME,Of course my sister wants Sansa dead
What the hell are you doing here? BRIENNE,I’ve come for the Blackfish
JAIME,You’re welcome to have him
BRIENNE,Lady Sansa desires to take her ancestral seat back from the Boltons and assume her rightful position as Lady of Winterfell
JAIME,They’re a bit occupied at the moment
BRIENNE,As a reward for betraying Robb Stark and slaughtering his family
JAIME,Exactly
JAIME,We shouldn’t argue about politics
BRIENNE,"You’re a knight, Ser Jaime"
JAIME,I’m a Lannister
BRIENNE,I do no such thing
JAIME,He’s even more stubborn than you are
JAIME,All right
BRIENNE,I need your word
JAIME,You have my word
BRIENNE,You gave it to me for a purpose
JAIME,It’s yours
BRIENNE,"one last thing, Ser Jaime"
JAIME,Of course it does
BRIENNE,To fight you
JAIME,Let’s hope it doesn’t come to that
CUT TO,RIVERRUN - OUTER WALL BRIENNE and PODRICK follow BRYNDEN holding a piece of parchment as he walks along the walls of Riverrun
BRYNDEN,I’ve said no three times already
BRIENNE,I have a signed letter from your niece Sansa Stark
BRYNDEN,I haven’t seen her since she was a child
BRYNDEN,Double the guards tonight
BRIENNE,He always spoke highly of you
BRYNDEN,"And if he were here now, I’d tell him the same I’m telling you"
BRYNDEN,"If you think I’m abandoning my family’s seat on the Kingslayer’s word of honor, you’re a bloody fool"
BRIENNE,Riverrun cannot stand against the Lannisters and the Freys
BRYNDEN,We can stand longer than your one-handed friend thinks we can
BRIENNE,He’s not my friend
BRYNDEN,No? BRYNDEN stops and turns back to face BRIENNE
BRYNDEN,She’s exactly like her mother
BRYNDEN,I don’t have enough men to help her take Winterfell
BRIENNE,You have more than she does
BRYNDEN,She wants her home back
BRIENNE (to PODRICK),Find the maester
KEVAN,Your place is in the gallery with the other ladies of the court
TOMMEN,"Lords and ladies, the Faith and the Crown are the two pillars that hold up this world"
TOMMEN,"Furthermore, after much prayer and reflection, the Crown has decided that from this day forward, trial by combat will be forbidden throughout the Seven Kingdoms"
CROWD,Seven blessings
QYBURN,Your Grace
MISSANDEI,You seem happy
TYRION,I am happy
TYRION,Now it’s like a man reborn
MISSANDEI,I will be happy when our queen returns
TYRION,Why don’t you drink? Why don’t either of you ever drink? TYRION pours a third glass of wine
GREY WORM,Unsullied never drink
TYRION,And who made these rules? Your former masters? GREY WORM and MISSANDEI look at each other
TYRION,Those miserable old shits didn’t want you to be human
TYRION (to MISSANDEI),And you? What’s your excuse? GREY WORM sniffs his glass of wine and scrunches up his face
MISSANDEI,I have tried wine before
