JAIME,You could have killed me
BRONN,You saw the dragon between you and her? BRONN looks incredulously at JAIME
BRONN,And? JAIME sits up and says nothing to BRONN
BRONN,"Listen to me, cunt"
JAIME,That was only one of them
"If she decides to use them, to really use them -- BRONN",You're fucked
JAIME,I have to tell Cersei
BRONN,Best well jump back in that river
CUT TO,KING'S LANDING - BATTLEGROUND TYRION is walking over an ash covered ground
DAENERYS,"I know what Cersei has told you, that I've come to destroy your cities -- The camera pans around the prisoners"
DAENERYS,"-- burn down your homes, murder you and orphan your children"
DAENERYS,"Step forward, My Lord"
TYRION,"My sister, she wasn't your queen until recently though, was she, until she murdered your rightful queen and destroyed House Tyrell for all time"
RANDYLL,There are no easy choices in war
DAENERYS,You will not trade your honor for your life
TYRION,"Perhaps he could take the black, Your Grace"
RANDYLL,You cannot send me to the Wall
DICKON,You will have to kill me too
RANDYLL,Step back and shut your mouth
DICKON,"I'm Dickon Tarley, son of Randyll Tarley"
TYRION,You are the future of your house
DICKON,I will not
TYRION,"Your Grace, nothing strips bold notions from a man's head like a few weeks in a dark cell"
DAENERYS,I meant what I said
TYRION,Your Grace -- DAENERYS looks to her Dothraki escort and gives a signal
DAENERYS,"Lord Randyll Tarley, Dickon Tarley, I, Daenerys of House Targaryen, First of my name, Breaker of Chains and Mother of Dragons, sentence you to die"
DAENERYS,Dracarys
CUT TO,KING'S LANDING - HALLWAY JAIME is quickly walking down the hall leading to CERSEI's room
QYBURN,My Lord
CERSEI,It's armies that win wars
CERSEI,"They're not the same as our men but they'll fight if they're well paid, which they will be"
JAIME,I just saw the Dothraki fight
CERSEI,"So what do we do? Sue for peace? I sit on her father's throne, the father you betrayed and murdered"
CERSEI,Maybe we can count on Tyrion to intercede on our behalf by way of apology for murdering our father and our son
JAIME,He didn't
CERSEI,"You saw the crossbow, you saw his body"
JAIME,I'm not talking about father
CERSEI,I shouldn't have listened to you
JAIME,"She's dead like her son, her grandchildren, her whole house"
CERSEI,So we fight and die or we submit and die
CUT TO,EXT
DAENERYS,They're not beasts to me
JON,You weren't gone long
DAENERYS,No
DAENERYS,We both want to help people
JON,Ser Davos gets carried away
DAENERYS,So it was a figure of speech? JON doesn't say anything
GUARD,"This man says he is your friend, Khaleesi"
DAENERYS,He is my friend
JORAH,Your Grace
DAENERYS,"Jon Snow, this is Ser Jorah Mormont, an old friend"
JON,I served with your father
DAENERYS,You look strong
You found a cure? JORAH,I wouldn't be here if I hadn't
DAENERYS,It would be my honor
CUT TO,EXT
CUT TO,WINTERFELL - WEIRWOOD TREE BRAN's eyes are pure white
BRAN,Ravens
CUT TO,CITADEL - MAESTER COUNCIL CHAMBER ARCHMAESTER MARWYN and other citadel maesters are seated at a council table
MAESTER 1,I put very little stock in it myself
MARWYN,I remember Wolkan
MAESTER 1,The north has dulled many good maester's wits
MAESTER 1,A crippled boy claims to have seen dead men on the march beyond the wall thanks to the magical help of a raven with three eyes
MARWYN,It is a bit much
Still we ought to -- SAMWELL,Brandon Stark -- The maesters all turn in their seats to look at SAMWELL
SAMWELL,-- the crippled boy
MAESTER 1,Perhaps you need more scribing work to discipline your mind
MARWYN,I sense a more detailed proposal is forthcoming
SAMWELL,Everyone in Westeros trusts and respects you
MARWYN,It could be done
MAESTER 1,That does seem far more likely than magic birds talking to cripples
SAMWELL,"Archmaester, please"
MARWYN,We will write to Maester Wolkan at Winterfell for clarification
MAESTER 2,"It brings to mind the work of Davy Moonstone, the charlatan who claimed to see the children of the forest"
MAESTER 1,Don't forget the Prophet Lodock that promised the Drowned God would rise up and destroy Aegon the Conquerer
MAESTER 2,Horrible business
MARWYN,I don't have the heart to tell him yet
MARWYN,Right
CUT TO,DRAGONSTONE - THRONE ROOM VARYS and TYRION are sitting on the stairs of the Throne Room alone
TYRION,All rulers demand that people bend the knee
What else could she do? VARYS,Not burn him alive alongside his son
TYRION,"I am her hand, not her head"
VARYS,That's what I used to tell myself about her father
VARYS,"It's what I told myself when I watched them beg for mercy, \"I'm not the one doing it"
TYRION,Daenerys is not her father
VARYS,And she never will be
CUT TO,DRAGONSTONE - CHAMBER OF THE PAINTED TABLE DAENERYS and VARYS are seated at the painted table
JON,I thought Arya was dead
DAENERYS,I'm happy for you
JON,Bran saw the Night King and his army marching towards Eastwatch
If they make it past the wall -- VARYS,The Wall has kept them out for thousands of years
JON,I need to go home
DAENERYS,You said you don't have enough men
JON,We'll fight with the men we have
DAENERYS,And give the country to Cersei? As soon as I march away she marches in
TYRION,Perhaps not
What if we prove her wrong? JON,I don't think she'll come see the dead at my invitation
TYRION,So bring the dead to her
DAENERYS,I thought that was what we are trying to avoid
TYRION,We don't have to bring the whole army
TYRION,Bring one of these things down to King's Landing and show her the truth
VARYS,Anything you bring back will be useless unless Cersei grants us an audience and is somehow convinced not to murder us the moment we set foot in the capital
TYRION,The only person she listens to is Jaime
DAENERYS,And how would you get into King's Landing
DAVOS,"I can smuggle you in, but if the Goldcloaks were to recognize you, I'm warning you, I'm not a fighter"
DAENERYS,"Well, it will all be for nothing if we don't have one of these dead men"
VARYS,Fair point
JORAH,With the queen's permission I'll go north and take one
JORAH,You asked me to find a cure so I could serve you
JON,The free folk will help us
DAVOS,They won't follow Ser Jorah
JON,They won't have to
DAVOS,You can't lead a raid beyond the wall
JON,I'm the only one here whose fought them
DAENERYS,I haven't given you permission to leave
JON,"With respect, Your Grace, I don't need your permission"
CUT TO,"WINTERFELL - THE GREAT HALL Northen lords including ROBETT GLOVER, YOHN ROYCE and LYANNA MORMONT are congregated in the Great Hall"
ROBETT,The King in the North should stay in the north
YOHN,"The Knights of the Vale came here for you, Lady Stark"
SANSA,"You're very kind, my lords, but Jon is our king"
CUT TO,WINTERFELL - HALLS SANSA and ARYA are walking through the hall to SANSA's quarters having a discussion
SANSA,I warned Jon this would happen
ARYA,He didn't
SANSA,"Well, he's not making it easy"
ARYA,These are mother and father's chambers
SANSA,Don't do that
ARYA,You always liked nice things
SANSA,"I listened to their complaints, which is my responsibility as Lady of Winterfell"
ARYA,Not if they lose their heads first
SANSA,Winterfell didn't just fall into our hands
ARYA,"And if Jon doesn't come back, you'll need their support, so you can work together to give you what you really want"
SANSA,I have work to do
ARYA,My lady
CUT TO,KING'S LANDING - BEACH DAVOS and TYRION are standing on the beach of King's Landing
TYRION,Last time I was here I killed my father with a crossbow
DAVOS,Last time I was here you killed my son with wildfire
DAVOS,There's a path to the left that hugs the cliff
CUT TO,REDKEEP - DUNGEONS BRONN and JAIME are walking by the dragon skulls
JAIME,We don't have time for this
BRONN,All the more reason for you to train
JAIME,I seem to recall them giving you a bit of trouble as well
BRONN,And here I am ready to train
JAIME,Today might be the day I kill you by accident
BRONN,"Oh, you won't be swinging it at me"
BRONN,I'll leave you to it
TYRION,I needed to see you and I knew you'd never agree to meet
TYRION,You made me look like a complete fool
