WAYMAR ROYCE,What d’you expect? They’re savages
WILL,I’ve never seen wildlings do a thing like this
GARED,We should head back to the wall
ROYCE,You don’t think he’ll ask us how they died? Get back on your horse
WILL,Whatever did it to them could do it to us
ROYCE,It’s a good thing we’re not children
ROYCE,Your dead men seem to have moved camp
WILL,They were here
GARED,See where they went
JON,Go on
JON,And your mother
SEPTA MORDANE (to SANSA),"Fine work, as always"
SANSA,Thank you
SEPTA MORDANE,I love the detail that you’ve managed to get in this corners
NED,"And which one of you was a marksman at ten? Keep practicing, Bran"
JON,"Don’t think too much, Bran"
ROBB,Relax your bow arm
JON/ROBB,"Quick, Bran, faster! [RODRICK CASSEL and THEON GREYJOY approach NED and CATELYN on the balcony"
CASSEL,Lord Stark
NED,Get the lads to saddle their horses
CASSEL,"The law is law, my lady"
NED,"Tell Bran he’s coming, too"
CATELYN,Ned
NED,He won’t be a boy forever
ROBB,"Lad, go run back and get the rest"
WILL (muttering),White Walkers
WILL,I know I broke my oath
WILL (whispering),"Forgive me, lord"
NED,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die"
JON,You did well
THEON,It’s a freak
NED,It’s a direwolf
NED,Tough old beast
ROBB,There are no direwolves south of the Wall
JON,Now there are five
CASSEL,They don’t belong down here
NED,Better a quick death
THEON,Right
THEON,"I take orders from your father, not you"
JON,Lord Stark? There are five pups
NED,You will train them yourselves
ROBB,What is it? [JON pulls up a white wolf pup
THEON,The runt of the litter
CERSEI,And you never worry about anything
JAIME,There was nothing to be afraid of until you told father
JAIME,"If he told the king, both our heads would be skewered on the city gates by now"
CERSEI,You should be the Hand of the king
JAIME,That’s an honor I can do without
CATELYN,All these years and I still feel like an outsider when I come here
NED,You have five northern children
CATELYN,I wonder if the old gods agree
NED,It’s your gods with all the rules
CATELYN,"I am so sorry, my love"
NED,Tell me
CATELYN,There was a raven from Kings Landing
NED,Your sister
The boy … CATELYN,They both have their health
NED,"He’s coming this far North, there’s only one thing he’s after"
CATELYN,"You can always say no, Ned"
CATELYN,We need plenty of candles for Lord Tyrion’s chamber
MAESTER LUWIN,I’m told he drinks all night
CATELYN,How much could he possibly drink? A man of his … stature
LUWIN,We’ve brought up eight barrels of ale from the cellar
CATELYN,"In any case, candles"
I hear she’s [sleek as a mink? ROBB,I hear the prince is a right royal prick
THEON,Think of all those southern girls he gets to stab with his right royal prick
ROBB,"Go on, Tommy, shave him good"
CATELYN,"Gods, but they grow fast"
BRAN (looking down),I promise
CATELYN,"Where’s Arya? Sansa, where’s your sister? [More riders with banners"
NED,"Hey,, hey, hey, hey"
What are you doing with that on? [Pulls off ARYA’s helm ARYA (pushing BRAN),"Move! [JOFFREY rides up, SANSA smiles at him, ROBB glares at JOFFREY"
NED,Your Grace
ROBERT,You’ve got fat
ROBERT,Nine years
