Old Nan,The little Lord's been dreaming again
Theon Greyjoy,We have visitors
Bran Stark,I don't want to see anyone
Theon Greyjoy,"Really? If I was cooped up all day with no one but this old bat for company, I'd go mad"
Bran Stark,I don't want to go
Theon Greyjoy,Neither do I
Tyrion Lannister,I must say I received a slightly warmer welcome on my last visit
Robb Stark,Any man of the Night's Watch is welcome at Winterfell
Tyrion Lannister,Then you might learn a lord's courtesy
Tyrion Lannister,So it's true
Do you remember anything about what happened? Maester Luwin,He has no memory of that day
Tyrion Lannister,Curious
Bran Stark,"Kneel, Hodor"
Maester Luwin,The boy has lost the use of his legs
Tyrion Lannister,"What of it? With the right horse and saddle, even a cripple can ride"
Bran Stark,I'm not a cripple
Tyrion Lannister,Then I'm not a dwarf
Robb Stark,You've done my brother a kindness
Tyrion Lannister,"Spare me your false courtesies, Lord Stark"
Theon Greyjoy,"Couldn't resist some northern ass? If you like redheads, ask for Ros"
Tyrion Lannister,"Come to see me off, Greyjoy? Kind of you"
Theon Greyjoy,He's not my master
Tyrion Lannister,"No, of course not"
What happened here? Where is lady Stark? Why didn't she receive me? Theon Greyjoy,She wasn't feeling well
Tyrion Lannister,My lady? Your loyalty to your captors is touching
I believe your uncles were responsible? Theon Greyjoy,Must have been a pretty sight
Tyrion Lannister,Nothing prettier than watching sailors burn alive
Theon Greyjoy,We were outnumbered 10 to one
Tyrion Lannister,A stupid rebellion then
Theon Greyjoy,"Careful, Imp"
Tyrion Lannister,I've offended you
Jon Snow,"Leg, shoulder, leg"
Alliser Thorne,Tell them your name
Samwell Tarly,"Samwell Tarly, of Horn Hill"
Rast,Come to take the black pudding
Alliser Thorne,"Well, you couldn't be any worse than you look"
Samwell Tarly,I yield
Alliser Thorne,On your feet
Jon Snow,Enough! He yielded
Alliser Thorne,Looks like the bastard's in love
Jon Snow,"Are you sure you want to do this? Alliser has the three guys attack Jon, trying to get to Sam, Jon successfully defends them all off"
Grenn,No
Alliser Thorne,We're done for today
Samwell Tarly,You can call me Sam
Jon Snow,"It's not going to get any easier, you know? You'll have to defend yourself"
Jon Snow,The Wall's no place for cowards
Samwell Tarly,You're right
Grenn,A bloody coward
Pyp,You're too stupid to be a coward
Grenn,You're too stupid to be a
Pyp,"Quick now, before summer's over"
Grenn,Come on here! - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Daenerys and the horde have arrived to the Dothraki homeland
Jorah Mormont,Vaes Dothrak
Viserys Targaryen,A pile of mud
Daenerys Targaryen,These are my people now
Viserys Targaryen,"I'll call them what I like, because they're my people"
Daenerys Targaryen,You sold slaves
Jorah Mormont,Aye
Viserys Targaryen,They do
Doreah,What happened to the dragons? I was told that brave men killed them all
Viserys Targaryen,The brave men didn't kill dragons
Doreah,I have always wanted to see a dragon
Viserys Targaryen,"Well, after 15 years in a pleasure house, I imagine just seeing the sky makes you happy"
Doreah,I was not locked in
Viserys Targaryen,"No, the last one died many years before I was born"
I'll tell you what I have seen,their skulls
Doreah,That's very sad
Viserys Targaryen,"Yes, it is"
What did I buy you for? To make me sad? Doreah,"No, your Grace"
Viserys Targaryen,To teach my sister how to be a better lover? You think I bought you to make Khal Drogo happy? You pretty little idiot
Septa Mordane,Someday your husband will sit there and you will sit by his side
Sansa Stark,"Jeyne Poole's mother had five children, all of them girls"
Septa Mordane,"Yes, but it's highly unlikely"
Sansa Stark,And everyone would hate me
Septa Mordane,Nobody could ever hate you
Sansa Stark,Joffrey does
Septa Mordane,Nonsense
Sansa Stark,Please shut up about it
Septa Mordane,And how many years did it take to build
Sansa Stark,The Mad King
Septa Mordane,Commonly known as the Mad King
Sansa Stark,"I don't want to speak to my father, ever"
Septa Mordane,You will find it in your heart to forgive your father
Sansa Stark,"No, I won't"
Janos Slynt,"It's the Hand's tournament that's causing all this trouble, my Lords"
Eddard Stark,The King's tournament
Janos Slynt,"Call it what you will, Lord Stark Ser, the city is packed with people and more flooding in every day"
Varys,Dreadful
Renly Baratheon,"If you can't keep the King's peace, perhaps the City Watch should be commanded by someone who can"
Janos Slynt,I need more men
Eddard Stark,You'll get 50
Janos Slynt,"Thank you, my Lord Hand Ser"
Eddard Stark,"The sooner this is over, the better"
Varys,"The realm prospers from such events, my Lord"
Petyr Baelish,And every inn in the city is full and the whores are walking bow-legged
Eddard Stark,I'm sure the tourney puts coins in many a pocket
Grand Maester Pycelle,This heat
Eddard Stark,I've been hoping to talk to you about Jon Arryn
Grand Maester Pycelle,Lord Arryn? His death was a great sadness to all of us
Eddard Stark,I'd like to read it
Grand Maester Pycelle,"\"The lineages and histories of the great houses of the Seven Kingdoms, with descriptions of many high lords and noble ladies and their children"
"\" Eddard Stark","\"Harkon Umber, first of his name, born to lord Hother Umber and lady Amaryllis Umber in the 183rd year after Aegon's landing, at the last hearth"
"\" Grand Maester Pycelle","As I said, my Lord, a ponderous read"
Eddard Stark,Jon's death
Grand Maester Pycelle,Such a tragedy
There was one phrase he kept repeating,"\"The seed is strong,\" I think it was"
Grand Maester Pycelle,A disturbing thought
Eddard Stark,I've heard it said that poison is a woman's weapon
Grand Maester Pycelle,Yes
Did you know that lord Varys is a eunuch? Eddard Stark,Everybody knows that
Grand Maester Pycelle,"Yes, yes, of course"
Eddard Stark,I've taken enough of your time
Grand Maester Pycelle,"No trouble at all, my Lord"
Eddard Stark,Thank you
Arya Stark,Syrio says a water dancer can stand on one toe for hours
Eddard Stark,It's a hard fall down these steps
Arya Stark,Syrio says every hurt is a lesson and every lesson makes you better
Eddard Stark,He's right about that
Arya Stark,He wants to be a knight of the King’s Guard
"He can't be one now, can he? Eddard Stark",No
Arya Stark,No
Samwell Tarly,Hello
Jon Snow,Come stand by the fire
Samwell Tarly,"No, that's all right"
Jon Snow,You're not
Samwell Tarly,I don't like high places
Jon Snow,You can't fight
"What are you doing here, Sam? Samwell Tarly","On the morning of my 18th nameday, my father came to me"
"\" Ser Alliser's going to make me fight again tomorrow, isn't he? Jon Snow","Yes, he is"
Petyr Baelish,I hear you're reading a boring book
Eddard Stark,Pycelle talks too much
Petyr Baelish,He never stops
Eddard Stark,Where is Ser Hugh? I'll speak to him
Petyr Baelish,A singularly bad idea
Is there someone in your service whom you trust completely? Eddard Stark,Yes
Petyr Baelish,"The wiser answer was no, my Lord"
Eddard Stark,"Lord Baelish, perhaps I was wrong to distrust you"
Petyr Baelish,Distrusting me was the wisest thing you've done since you climbed off your horse
Jory Cassel,"I'm here on behalf of Lord Eddard Stark, the Hand of the king"
Hugh of the Vale,I'm sorry
Jory Cassel,"No \"ser"
