Varys,"You've seen better days, my lord"
Eddard Stark,Another visit? lt seems you're my last friend
Varys,"No, no, many still love you"
Eddard Stark,On her knees begging for me
Hm! Did you laugh with the others? Varys,"You do me wrong, my lord"
Eddard Stark,l don't know what you want
Varys,When l was still a boy - before they cut my balls off with a hot knife - l traveled with a group of actors through the free cities
Eddard Stark,Huh
Can you free me from this pit? Varys,l could
Eddard Stark,What do you want? Tell me
"Tell me, what do you want? Varys",Peace
Eddard Stark,Robb? He's just a boy
Varys,Boys have been conquerors before
Eddard Stark,Stannis Baratheon is Robert's true heir
Varys,Sansa pleaded so sweetly for your life
Eddard Stark,You think my life is some precious thing to me? That l would trade my honor for a few more years of
Varys,Pity
Robb Stark,lt's a birthday message to his grand-niece Walda
Theon Greyjoy,Or so Walder Frey would have you think
Catelyn Stark,Keep shooting them down
Robb Stark,He's Grandfather's bannerman
We can't expect his support? Greatjon Umber,Expect nothing of Walder Frey and you'll never be surprised
Robb Stark,Father rots in a dungeon
Theon Greyjoy,Just march up to his gates and tell him you're crossing
Greatjon Umber,Not in time
Catelyn Stark,"The Freys have held the crossing for 600 years, and for 600 years they have never failed to exact their toll"
Robb Stark,Have my horse saddled and ready
Greatjon Umber,Enter the Twins alone and he'll sell you to the Lannisters as he likes
Theon Greyjoy,Or throw you in a dungeon
Robb Stark,My father would do whatever it took to secure our crossing
Catelyn Stark,l agree
Greatjon Umber,Unless there was a profit in it
Walder Frey,"Oh, spare me"
What am l supposed to do with you? Stevron Frey,"Father, you forget yourself"
Lady Stark is – Walder Frey,"Who asked you? You're not Lord Frey yet, not until l die"
Catelyn Stark,l'm sure she will give you many sons
Walder Frey,Huh
Catelyn Stark,"He is quite ill, my lord"
Walder Frey,Huh
You see how they pile up? Why are you here? Catelyn Stark,"To ask you to open your gates, my lord, so my son and his bannermen may cross the Trident and be on their way"
Walder Frey,"There will be 20,000 corpses when Tywin Lannister gets here"
Catelyn Stark,You swore an oath to my father
Walder Frey,"Oh, yes, l said some words"
Jeor Mormont,Good
Jon Snow,This is Valyrian steel
Jeor Mormont,"lt was my father's sword, his father before him"
ls that understood? Jon Snow,"Yes, my lord"
Jeor Mormont,Right
Jon Snow,l'll apologize to Ser Alliser tonight
Jeor Mormont,"No, you won't"
Jon Snow,"Yes, my lord"
Unidentified Night’s Watchers,Well done
Night’s Watcher #1,"You earned that, Snow"
Night’s Watcher #2,Well done
Pyp,"Go on, let's have a look"
Grenn,Piss off
Pyp,"Come on, l want to have a look at it in the light"
Give it here! Grenn,Look at its eyes
Jon Snow,And yet you really want to say
You want to say that… Samwell Tarly,There was a raven
Jon Snow,l should be there
Greatjon Umber,"lf we do that, they'll never get back across"
Robb Stark,Huh
Catelyn Stark,Less the 400 he will keep here to hold the crossing against any who would pursue you
Robb Stark,"Fine, fine"
And? Catelyn Stark,And Arya will marry his son Waldron when they both come of age
Robb Stark,She won't be happy about that
And? Catelyn Stark,And when the fighting is done you will marry one of his daughters
Robb Stark,l see
Did you get a look at his daughters? Catelyn Stark,l did
Robb Stark,Then l consent
"Tell me, did you ever wonder why the men of the Night's Watch take no wives and father no children? Jon Snow",No
Maester Aemon,So they will not love
"lf the day should ever come when your lord father was forced to choose between honor on the one hand and those he loves on the other, what would he do? Jon Snow","He would do whatever was right, no matter what"
Maester Aemon,"Then Lord Stark is one man in 10,000"
What is honor compared to a woman's love? And what is duty against the feel of a newborn son in your arms? Or a brother's smile? Jon Snow,Sam told you
Maester Aemon,We're all human
Jon Snow,You do not know
Maester Aemon,The gods were cruel when they saw fit to test my vows
What could l do when the ravens brought the news from the South,"the ruin of my House, the death of my family? l was helpless, blind, frail"
Jon Snow,You're Aemon Targaryen
Maester Aemon,"l'm a maester of the Citadel, bound in service to Castle Black and the Night's Watch"
Daenerys Targaryen,(in Dothraki) My lord… My sun and stars… Drogo
Qotho,(in Dothraki) He fell from his horse
Daenerys Targaryen,"(in Dothraki) He's tired, that's all"
Qotho,(in Dothraki) This is no place to camp
Daenerys Targaryen,(in Dothraki) We'll camp here
Qotho,"(in Dothraki) You do not command me, Khaleesi"
Daenerys Targaryen,(in Dothraki) Find Mirri Maz Duur
Qotho,"(in Dothraki) The witch? l'll bring you her head, Khaleesi"
Daenerys Targaryen,(in Dothraki) Bring her to me unharmed or Khal Drogo will hear why you denied me
Qotho,"(in Dothraki) Hyah! Hyah! --------------------- At the Lannister camp, Tywin is presiding over lunch/war meeting"
Kevan Lannister,Our scouts tell us the Stark host has moved south from the Twins with Lord Frey's levies in tow
Tywin Lannister,"The boy may lack experience and sense, but he does have a certain mindless provincial courage"
Tyrion Lannister,"Oh, do continue"
Tywin Lannister,"l do hope your savages are going to be of some use, otherwise we've wasted good steel on them"
Kevan Lannister,The great hairy one insisted he must have two battleaxes
Tyrion Lannister,Shagga likes axes
Tywin Lannister,"When the battle commences, you and your wildlings will be in the vanguard"
Tyrion Lannister,Ferocious? Last night a Moon Brother stabbed a Stone Crow over a sausage
Tywin Lannister,"When soldiers lack discipline, the fault lies with their commander"
Tyrion Lannister,Surely there are ways to have me killed that would be less detrimental to the war effort
Tywin Lannister,There'll be no more discussion on the matter
Tyrion Lannister,lt appears l'm not hungry after all
Tyrion Lannister,"Well, the odds of me living long enough for him to retaliate have just dropped drastically"
Bronn,"Oh, well"
What did your mother call you? Tyrion Lannister,My mother died giving birth to me
Shae,Let's start with your last night in this world
Jorah Mormont,Khaleesi
Daenerys Targaryen,Come
Jorah Mormont,"He will die tonight, Khaleesi"
Daenerys Targaryen,He can't
Jorah Mormont,Even a queen doesn't have that power
Daenerys Targaryen,l won't leave him
Jorah Mormont,"He's already gone, Khaleesi"
Daenerys Targaryen,"Even if he dies, why would l run? l am khaleesi, and my my son will be khal after Drogo"
Jorah Mormont,"This isn't Westeros, where men honor blood"
Daenerys Targaryen,l won't leave him
Mirri Maz Duur,The wound has festered
Qotho,"(in Dothraki) You did this, witch"
(pulls a dagger out of its sheath) Daenerys Targaryen,(in Dothraki) Stop it! l don't want her hurt
Qotho,"(in Dothraki) No? No? You don't want her hurt? Pray we don't hurt you, too"
Jorah Mormont,(in Dothraki) Rein in your tongue
Qotho,(in Dothraki) Only while the blood of my blood lives
Daenerys Targaryen,(in Dothraki) l have never been nothing
Qotho,"(in Dothraki) The dragons are all dead, Khaleesi"
Daenerys Targaryen,"l think you should wear your armor tonight, ser"
Jorah Mormont,l think you're right
Mirri Maz Duur,You've saved me once more
Daenerys Targaryen,And now you must save him
