Game of Thrones,Season 4 Episode 3 Script Opening Titles
KING'S LANDING - JOFFREY'S WEDDING - DAY CERSEI,You did this
SER DONTOS,We have to leave
CERSEI,Take him! Take him! Tyrion is dragged off by guards as Sansa and Ser Dontos rush off through the crowd
SER DONTOS,Get in
SER DONTOS,"Up you go, my lady"
LITTLEFINGER,Good
SER DONTOS,Lord Baelish
LITTLEFINGER,"Softly, my friend"
SER DONTOS,I should get back before someone thinks to look for me
"10,000 was it? SER DONTOS","10,000"
SER DONTOS,"Wait! Both men shoot at Ser Dontos, he groans in pain before lying dead"
LITTLEFINGER,Shh
"And if they found you, how do you think they would punish the girl who murdered the king? SANSA",I didn't murder anyone
LITTLEFINGER,I know
SANSA,He saved me
LITTLEFINGER,"Saved you? My lady, he followed my orders"
SANSA,He was helping me because I saved his life
LITTLEFINGER,"Yes, and he gave you a priceless necklace that once belonged to his grandmother"
LITTLEFINGER,I had it made a few weeks ago
What did I once tell you about the capital? SANSA,We're all liars here
LITTLEFINGER,"Come, my lady"
CUT TO,EXT
MARGAERY,"Clawing at his own throat, looking to his mother to make stop"
OLENNA,The world is overflowing with horrible things
MARGAERY,One of my husbands preferred the company of men and was stabbed through the heart
OLENNA,Nonsense
MARGAERY,But I would have been the queen
OLENNA,Our alliance with the Lannisters remains every bit as necessary to them as it is unpleasant for us
CUT TO,INT
TYWIN,Your brother is dead
TOMMEN,It means I'll become king
TYWIN,"Yes, you will become king"
But what makes a good king? Hmm? What is a good king's single most important quality? CERSEI,This is hardly the place or the time
TOMMEN,Justice
TYWIN,Yeah
Was that truly just of him? To abandon his subjects to an evil that he was too gullible to recognize? TOMMEN,No
TYWIN,No
What do they all lack? TOMMEN,Wisdom
TYWIN,Yes
How do you know which choice is wise and which isn't? You've any experience of treasuries and granaries or shipyards and soldiers? TOMMEN,No
TYWIN,No
TOMMEN,A king needs a queen
TYWIN,"Yes, but why? To further the family line"
Do you know how that happens? TOMMEN,Yes
- (THUNDER RUMBLING) - (RAIN PATTERING) MAN,We ask the Father to judge us with mercy accepting our human frailty
How many Starks they got to behead before you figure it out? RANGER,Raper
(DOOR CLOSES) BOY,Mother says it's time to eat
MAN,The wildlings! Guymon! Hide
YARWYCK,We need to teach them a lesson about the way we deal with their kind
DOLOROUS EDD,Poor girls
DAARIO,I was the last to join your army
You sure you don't want a horse? DAARIO,Why would I want a horse? Horses are faster than men
