Two men walk toward a brothel with smiles on their faces MAN 1,Here we are
You hear me? GILLY,Yes
MOLE'S TOWN WHORE,I don't care if you're sorry
GILLY,Don't you ever touch him
MOLE'S TOWN WHORE,"Hehehe, little Wildling bitch"
*an owl hoots in the distance* Are you listening to me? GILLY,Shut your mouth
MOLE'S TOWN WHORE,What? It's just an owl you dumb bitch
GILLY,No it's not
JON,You couldn't have known
SAM,Of course I could've known
GRENN,We pledged to guard the realms of men
SAM,She's dead because of me
GRENN,We can't even guard Mole's Town
JON,"We can't go after them, you know that"
SAM,Little Same
PYP,Maybe she managed to hide herself
ED,She survived Craster and he was the worst shit I've ever met
SAM,She might have
JON,"If they hit Mole's Town, then we're next"
ED,A hundred thousand
GRENN,"And there's what, 5 of us left"
ED,"If you're counting Black Jack, Kegs, and Mully"
[Everyone takes a drink CUT TO,MEEREEN [Men and women are seen swimming in a lake
DANY,The Dothraki think outsiders are ridiculous taking shame in the naked body
MISSANDEI,Yes your grace
DANY,But you are not Dothraki
MISSANDEI,No
DANY,"Well, I don't see why it matters"
MISSANDEI,He was interested
MISSANDEI,"I don't know, your grace"
Grey Worm enters GREY WORM,Missandei
MISSANDEI,*in Valyrian* You don't need to apologize
GREY WORM,*in Valyrian* I hope I didn't frighten you
MISSANDEI,*in Valyrian* No
GREY WORM,"The lessons you give I in Common tongue, these are precious to I"
MISSANDEI,To me
GREY WORM,To me
MISSANDEI,I don't remember teaching you the word precious
GREY WORM,"Jorah the Andal, he teaches I"
GREY WORM,"*approaches Missandei* If the masters never cut me, I am never unsullied"
[Grey Worm turns around and begins to walk away MISSANDEI,*in Valyrian* Grey Worm
[Grey Worm stops and turns around MISSANDEI,*in Valyrian* I'm glad you saw me
GREY WORM,*in Valyrian* So am I
What do you tell them? THEON,"I'm Theon Greyjoy, son of Balon, heir to the Iron Islands"
RAMSAY,Are you sure? You do look very much like a lord
THEON,I'm Reek
RAMSAY,That's right
[Theon approaches the castle on horseback GUARD 1,*to Theon* No closer
Inside a lot of people are sick or dying RALF,"I'm Kenning, commander of this garrison"
And you say you're Theon Greyjoy? THEON,Yes
EVERYONE,What is dead may never die
His men pick him up RALF,
