thirdAc,arrival,from_station_code,name,zone,chair_car,first_class,duration_m,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,to_station_name,duration_h,type_of_train,first_ac,distance
0,08:35:00,UHP,UDHAMPUR JAMMUTAWI DMU,NR,0,0,50,0,UDHAMPUR,04602,06:45:00,04601,JAT,0,JAMMU TAWI,1,DEMU,0,53
0,17:50:00,JAT,JAT UDAHMPUR DMU,NR,0,0,35,0,JAMMU TAWI,04603,16:15:00,04604,UHP,0,UDHAMPUR,1,DEMU,0,53
0,19:50:00,UHP,UDHAMPUR JAMMUTAWI DMU,NR,0,0,30,0,UDHAMPUR,04604,18:20:00,04603,JAT,0,JAMMU TAWI,1,DEMU,0,53
1,12:30:00,BDTS,Mumbai BandraT-Bikaner SF Special,NWR,0,0,55,1,MUMBAI BANDRA TERMINUS,04728,14:35:00,04727,BKN,1,BIKANER JN,21,SF,0,1212
0,00:25:00,SSA,Sirsa - Hisar Passenger Special,?,0,0,35,0,Sirsa,04741,22:50:00,04742,HSR,0,Hisar,1,Pass,0,82
0,06:10:00,HSR,Hisar - Sirsa Passenger Special,?,0,0,50,0,Hisar,04742,04:20:00,04741,SSA,0,Sirsa,1,Pass,0,82
0,23:45:00,DNA,Rewari Degana Merta Special,NWR,0,0,15,0,DEGANA JN,04853,22:30:00,04854,MTD,0,MERTA ROAD JN,1,Pass,0,44
0,04:40:00,MTD,Degana Merta Special,NWR,0,0,0,0,MERTA ROAD JN,04854,03:40:00,04853,DNA,0,DEGANA JN,1,Pass,0,44
1,17:50:00,JAT,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),WR,0,0,20,1,JAMMU TAWI,09022,09:30:00,09021,BDTS,1,MUMBAI BANDRA TERMINUS,32,SF,1,1957
1,21:55:00,DR,Chalukya Express,CR,0,0,25,1,MUMBAI DADAR CENTRAL,11017,21:30:00,11018,YPR,1,YESVANTPUR JN,24,Exp,0,1205
1,04:25:00,CSTM,Konark Express,CR,0,0,15,1,MUMBAI CST,11019,15:10:00,11020,BBS,1,BHUBANESWAR,37,Exp,0,1932
1,03:55:00,BBS,Konark Express,CR,0,0,35,1,BHUBANESWAR,11020,15:20:00,11019,CSTM,1,MUMBAI CST,36,Exp,0,1932
1,06:05:00,CSTM,Sahyadri Express,CR,0,0,15,1,MUMBAI CST,11023,17:50:00,11024,KOP,1,C SHAHU M RAJ KOLHAPUR TERM,12,Exp,0,518
1,11:55:00,KOP,Sahyadri Express,CR,0,0,5,1,C SHAHU M RAJ KOLHAPUR TERM,11024,22:50:00,11023,CSTM,1,MUMBAI CST,13,Exp,0,518
0,12:05:00,MMR,Manmad Pune Express(Via Nasik),CR,1,0,35,0,MANMAD JN,11025,04:30:00,11026,PUNE,0,PUNE JN,7,Exp,0,364
0,21:30:00,PUNE,Pune Manmad Express,CR,1,0,40,0,PUNE JN,11026,12:50:00,11025,MMR,0,MANMAD JN,8,Exp,0,364
1,04:55:00,CSTM,Mumbai CST-Chennai Mail,CR,0,0,10,1,MUMBAI CST,11027,23:45:00,11028,MAS,1,CHENNAI CENTRAL,29,Mail,0,1283
0,20:25:00,CSTM,Koyna Express,CR,1,0,45,0,MUMBAI CST,11029,08:40:00,11030,KOP,0,C SHAHU M RAJ KOLHAPUR TERM,11,Exp,0,518
0,20:22:00,KOP,Koyna Express,CR,1,0,27,0,C SHAHU M RAJ KOLHAPUR TERM,11030,07:55:00,11029,CSTM,0,MUMBAI CST,12,Exp,0,518
1,06:45:00,PUNE,PUNE - DARBHANGA Gyan Ganga Exp,CR,0,0,30,1,PUNE JN,11033,16:15:00,11034,DBG,1,DARBHANGA JN,38,Exp,0,1948
1,21:45:00,DR,Dadar-Mysore Sharavati Express,CR,0,0,15,1,MUMBAI DADAR CENTRAL,11035,21:30:00,11036,MYS,1,MYSORE JN,24,Exp,0,1212
1,05:50:00,MYS,Mysore-Dadar Sharavati Express,CR,0,0,35,1,MYSORE JN,11036,06:15:00,11035,DR,1,MUMBAI DADAR CENTRAL,23,Exp,0,1212
1,01:15:00,PUNE,PUNE - GORAKHPUR Exp,CR,0,0,0,1,PUNE JN,11037,16:15:00,11038,GKP,1,GORAKHPUR JN,33,Exp,0,1771
1,04:05:00,GKP,GORAKHPUR - PUNE Exp,CR,0,0,35,1,GORAKHPUR JN,11038,15:30:00,11037,PUNE,1,PUNE JN,36,Exp,0,1771
1,20:15:00,KOP,Maharashtra Express,CR,0,0,45,1,C SHAHU M RAJ KOLHAPUR TERM,11039,15:30:00,11040,G,1,GONDIA JN,28,Exp,0,1346
0,19:10:00,KOP,Kolhapur-Gorakhpur Express Slip,CR,0,0,40,1,C SHAHU M RAJ KOLHAPUR TERM,11039-Slip,15:30:00,,GKP,0,GORAKHPUR JN,51,Exp,0,2107
1,12:45:00,G,Maharashtra Express,CR,0,0,25,1,GONDIA JN,11040,08:20:00,11039,KOP,1,C SHAHU M RAJ KOLHAPUR TERM,28,Exp,0,1346
